Name;Country;Description;Thumbnail;Publisher_Names;Developer_Names;Platform;Release_Date;Genre;Steam_Link;Epic_Link;Playstation_Link;Xbox_Link;Switch_Link;GOG_Link
Get Out;Bolivia;A first-person horror game in which you play Carl, who just woke up after hearing strange noises in his attic.;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1060890/header.jpg?t=1593226083;TheTeam.Ninja, FearBox Studios;TheTeam.Ninja;Windows, macOS, SteamOS + Linux;To be announced;Action, Indie, Early Access;https://store.steampowered.com/app/1060890/Get_Out//;Unknown;Unknown;Unknown;Unknown;Unknown
Llamalandia;Bolivia;Llamalandia is a cozy adventure game about finding your family and making a special bond with each llama you meet. Build your llama sanctuary to protect your family, raise the baby ll...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/2470990/e7bbade17b18781e774de8a65642458ced9223ba/header.jpg?t=1740981691;Paramo Games;Paramo Games;Windows;To be announced;;https://store.steampowered.com/app/2470990/Llamalandia//;Unknown;Unknown;Unknown;Unknown;Unknown
