Name;Country;Description;Thumbnail;Publisher_Names;Developer_Names;Platform;Steam_Link;Release_Date;Genre;Epic_Link;Playstation_Link;Xbox_Link;Switch_Link
Hidden Pass;Germany;Chart a course in a Tactical Turn-Based RPG with arena-like combat. Become a Wanderer - explorer, warrior, leader and tactician all in one. Build a team of skyfaring heroes, wield techn...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/2430170/header.jpg?t=1730365975;GG Studio;GG Studio;Windows;https://store.steampowered.com/app/2430170/Hidden_Pass/;4 Feb, 2025;Indie, RPG, Strategy;Unknown;Unknown;Unknown;Unknown
ROVE - The Wanderer's Tale;Germany;ROVE is a 'point-n-slash' adventure that blends intense isometric Action RPG gameplay with the charm and puzzles of point-and-click exploration. Dive into a handcrafted world full of fi...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1789070/header.jpg?t=1723215228;Viron Games;Viron Games;Windows, macOS;https://store.steampowered.com/app/1789070/ROVE__The_Wanderers_Tale/;To be announced;Action, Adventure, RPG;Unknown;Unknown;Unknown;Unknown
The Murder Hotel;Germany;Interrogate suspects, search for clues, & uncover a dastardly plot, as you solve a string of mystifying murders to help reluctant detective Ilmarinen escape the foreboding Fafnir Hotel.;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1969170/header.jpg?t=1729345236;Wegenbartho Games;Wegenbartho Games;Windows;https://store.steampowered.com/app/1969170/The_Murder_Hotel/;April 2025;Adventure;Unknown;Unknown;Unknown;Unknown
Bubbits;Germany;Pop your way to victory in a colorful next generation Bubble Shooter. Perfect for casual and competitive players alike! Compete in a 25 Player Battle Royale, Play VS with friends or go ...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/2483270/header.jpg?t=1729455275;Team Flow;Team Flow;Windows, SteamOS + Linux;https://store.steampowered.com/app/2483270/Bubbits/;To be announced;Action, Casual, Indie, Free To Play;Unknown;Unknown;Unknown;Unknown
Run or Die;Germany;Run or Die is a fast paced Endless Runner that focuses on movement based abilities (and a huge Ion Cannon)! Players must make decisions in the blink of an eye in order to make their way...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/325150/header.jpg?t=1665923809;Team Flow;Team Flow;Windows;https://store.steampowered.com/app/325150/Run_or_Die/;11 Dec, 2014;Action, Casual, Indie;Unknown;Unknown;Unknown;Unknown
