Name;Country;Description;Thumbnail;Publisher_Names;Developer_Names;Platform;Steam_Link;Release_Date;Genre;Epic_Link;Playstation_Link;Xbox_Link;Switch_Link
Island SAGA;Japan;It's time for an adventure!! Legends have it that there are mythical treasures lying deep within Valentine Island. Together with your four beautiful and well-stacked companions, will yo...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1150730/header.jpg?t=1703224442;Remtairy;Kamichichi;Windows, SteamOS + Linux;https://store.steampowered.com/app/1150730/Island_SAGA/;19 May, 2020;RPG;Unknown;Unknown;Unknown;Unknown
Core Awaken ~Jilelen and LittleSnow~;Japan;Cool and cute 2D Scroll action game!;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1289960/header.jpg?t=1715758255;CelLab;CelLab;Windows;https://store.steampowered.com/app/1289960/Core_Awaken_Jilelen_and_LittleSnow/;19 Jun, 2020;Action, Indie;Unknown;Unknown;Unknown;Unknown
URO2;Japan;There was a world where only URO lived. I brought music and color back to the world Again, one day, colors and sounds disappeared from the world. The UROs who noticed the incident To br...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1161800/header.jpg?t=1594084152;AnelaGamesStudio;AECRNIA;Windows;https://store.steampowered.com/app/1161800/URO2/;28 Oct, 2019;Adventure, Casual, Indie;Unknown;Unknown;Unknown;Unknown
Forgotten Trace: Thanatos in Nostalgia;Japan;Forgotten Trace: Thanatos in Nostalgia is an enchanting all-ages dramatic mystery visual novel by developer Almaz.;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1033110/header.jpg?t=1728180951;Fruitbat Factory;Almaz;Windows;https://store.steampowered.com/app/1033110/Forgotten_Trace_Thanatos_in_Nostalgia/;24 Jun, 2020;Adventure, Casual, Indie;Unknown;Unknown;Unknown;Unknown
ココロクローバー パート１/Kokoro Clover Part1;Japan;Join the Spirit Summoner, Treffy, in this side-scrolling action-platformer in the style of a Sunday morning anime TV show. In part 1, Treffy begins her story with Spirit friends and som...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1353120/header.jpg?t=1670999937;ひこてる;ひこてる;Windows;https://store.steampowered.com/app/1353120/_1Kokoro_Clover_Part1/;4 Jul, 2020;Action, Adventure, Casual, Indie;Unknown;Unknown;Unknown;Unknown
Seven Days;Japan;"A couple of days before the summer holiday starts... Kanzaki Shuuichi receives a ""cursed Blu-ray disc"" from one of his friends and is possessed by a female ghost which, when exorcised, ...";https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/931560/header.jpg?t=1728181052;Fruitbat Factory;LIFE0;Windows;https://store.steampowered.com/app/931560/Seven_Days/;13 Dec, 2019;Adventure;Unknown;Unknown;Unknown;Unknown
Happy Oshare Time;Japan;Happy Oshare Time is an idol VR game where you can dress up, perform in rhythm-game concerts and do photoshoots! Try performing with your friends using multiplayer mode!;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1127130/header.jpg?t=1592355615;Hapiosha ;Hapiosha;Windows;https://store.steampowered.com/app/1127130/Happy_Oshare_Time/;16 Jun, 2020;Casual, Indie;Unknown;Unknown;Unknown;Unknown
Bokuten - Why I Became an Angel;Japan;One day while practicing archery, Tomoe shoots an angel out of the sky. While he doesn't believe in love, the angel Aine literally sings its praises. Like it or not, Tomoe will have to ...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/668360/header.jpg?t=1727595792;MangaGamer, Sunflower Ocean;OVERDRIVE;Windows;https://store.steampowered.com/app/668360/Bokuten__Why_I_Became_an_Angel/;19 Dec, 2019;Adventure;Unknown;Unknown;Unknown;Unknown
Psychedelica of the Ashen Hawk;Japan;Uncover the secret – Unite the clans In a town ruled by opposing clans and overshadowed by superstition and legend, a child is born with the dreaded mark of a witch. She conceals her ...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/865830/header.jpg?t=1693958127;Intragames;IDEA FACTORY;Windows;https://store.steampowered.com/app/865830/Psychedelica_of_the_Ashen_Hawk/;30 Aug, 2019;Adventure;Unknown;Unknown;Unknown;Unknown
箱庭小相撲;Japan;Sumo simulation game;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1347490/header.jpg?t=1712668634;Shin Tomura;Shin Tomura;Windows;https://store.steampowered.com/app/1347490/_/;27 Jun, 2020;Simulation, Sports;Unknown;Unknown;Unknown;Unknown
