Name;Country;Description;Thumbnail;Publisher_Names;Developer_Names;Platform;Steam_Link;Release_Date;Genre;Epic_Link;Playstation_Link;Xbox_Link;Switch_Link
Weed Farmer Simulator;Hungary;Become a weed farmer! You just moved out of the city and bought land for growing some weed. It might not look like much right now but only your imagination is the limit!;https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1055490/header.jpg?t=1601838439;Polyák Kristóf;Polyák Kristóf;Windows;https://store.steampowered.com/app/1055490/Weed_Farmer_Simulator/;16 Mar, 2020;Casual, Indie, Simulation, Early Access;;;;
Zephyrus Prelude;Hungary;Zephyrus is a family-friendly magical escape room game in virtual reality full of mystical and cursed beings. ...like flying cats!;https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1829960/header.jpg?t=1724966135;MageLoop;MageLoop;Windows;https://store.steampowered.com/app/1829960/Zephyrus_Prelude/;20 Dec, 2022;Action, Adventure, Casual, Indie;;;;
Circus Electrique;Hungary;Circus Electrique is part story-driven RPG, part tactics, part circus management, and completely enthralling– all with a steampunk twist. When everyday Londoners mysteriously turn int;https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1666250/header.jpg?t=1682003453;Saber Interactive;Zen Studios;Windows, Playstation, Xbox;https://store.steampowered.com/app/1666250/Circus_Electrique/;6 Sep, 2022;Indie, RPG, Strategy;https://store.epicgames.com/en-US/p/circus-electrique;https://store.playstation.com/en-us/product/UP4042-CUSA30207_00-CELECTRIQE000000;https://www.xbox.com/en-us/games/store/circus-electrique/9nbb06cq4mdh;
Deluded I;Hungary;A worn out detective with his demons to fight and a homicide case to solve. Deluded is an interactive crime thriller movie with point-and-click investigation and adrenaline pumped quick;https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1770660/header.jpg?t=1640529167;New IDEA Games;New IDEA Games;Windows;https://store.steampowered.com/app/1770660/Deluded_I/;20 Dec, 2021;Action, Adventure, RPG;;;;
Santa Protects the Christmas Tree;Hungary;Snowmen are stealing the Christmas presents! Santa Claus must protect the gifts! Tell him where to move while he shoot snowballs against the Snowmen! Pickup blinking Presents to acquire;https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1813400/header.jpg?t=1640019613;Sasasoft;Sasasoft;Windows, macOS;https://store.steampowered.com/app/1813400/Santa_Protects_the_Christmas_Tree/;20 Dec, 2021;Action, Casual, Indie;;;;
The Savior From Above;Hungary;A sidescrolling 3D adventure shortgame combining multiple genres and featuring various action and puzzle sequences. Its artistic approach is supported by powerful visuals, intense atmos;https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1751980/header.jpg?t=1639075479;kóborfotonok;kóborfotonok;Windows;https://store.steampowered.com/app/1751980/The_Savior_From_Above/;6 Dec, 2021;Adventure, Free To Play, Indie;;;;
CoWorker;Hungary;Local co-op tower defense game set in a factory with zombies.;https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1706240/header.jpg?t=1638378857;Genesz;Genesz;Windows;https://store.steampowered.com/app/1706240/CoWorker/;1 Dec, 2021;Action, Indie;;;;
Time Patrol;Hungary;Travel back in time with the Time Patrols, and prove your aptitude by completing demanding missions at various moments in the past and the present. Now it's up to you and your trusty ha;https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1330690/header.jpg?t=1667394567;VRKiwi;Overon Station;Windows;https://store.steampowered.com/app/1330690/Time_Patrol/;10 Feb, 2022;Action, Casual, Sports;;;;
USC: Counterforce;Hungary;Lead your Space Commandos in a revival of turn-based squad tactics inspired by UFO/XCOM and Aliens. Utilize in-depth skill & combat systems in multiple game modes, including a full camp;https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1574870/header.jpg?t=1725638460;Firesquid;Angry Cat Studios, Creatio 49;Windows;https://store.steampowered.com/app/1574870/USC_Counterforce/;18 Jul, 2024;Indie, RPG, Strategy;;;;
Computer Tycoon;Hungary;Computer Tycoon is a fairly complex Business Grand Strategy game about Computer Evolution. Start in the 70s, invent until 2034, create the best computer systems, upgrade your infrastruc;https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/686680/header.jpg?t=1720538161;Progorion;Progorion;Windows, macOS;https://store.steampowered.com/app/686680/Computer_Tycoon/;12 Oct, 2017;Indie, Simulation, Strategy, Early Access;;;;
Hidden Animals: English - Spanish;Hungary;Hidden Animals: English - Spanish is a relaxing hidden object game with the aim to teach you the Spanish names of animals featuring exclusive piano music. (You can use the program to st;https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/656480/header.jpg?t=1497652218;Progorion;Progorion;Windows;https://store.steampowered.com/app/656480/Hidden_Animals_English__Spanish/;15 Jun, 2017;Casual, Indie;;;;
Spectrolite;Hungary;Spectrolite is a challenging first-person platformer set in futuristic environments. Combine parkouring with powerful abilities, test your skills in fast paced timed challenges, and fol;https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1694880/header.jpg?t=1688063393;Noel Hetei, Andor Valentiny;Noel Hetei, Andor Valentiny;Windows, Playstation, Nintendo;https://store.steampowered.com/app/1694880/Spectrolite/;18 Nov, 2021;Action, Indie;;https://store.playstation.com/en-us/concept/10007992;;https://www.nintendo.com/us/store/products/spectrolite-switch/
Behind the Beyond;Hungary;Behind the Beyond is a point & click adventure set in a magical world of Hungarian folklore. Help Jánoska, the youngest son of a poor man, uncover the mysteries of the kingdom and find;https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1148310/header.jpg?t=1683101100;Sugarpunch Games;Sugarpunch Games;Windows;https://store.steampowered.com/app/1148310/Behind_the_Beyond/;To be announced;Adventure, Indie, Early Access;;;;
Gordian Rooms 2: A curious island;Hungary;Your adventure continues in Gordian Rooms 2... The escape island game where you venture further into the mysteries of the Gordian Society! Challenge your wits and conquer every puzzle o;https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1528220/header.jpg?t=1726155062;Crimsonite Games;Crimsonite Games;Windows;https://store.steampowered.com/app/1528220/Gordian_Rooms_2_A_curious_island/;19 Jan, 2024;Adventure, Indie;;;;
DEADHUNTERS;Hungary;DEADHUNTERS is a cooperative rogueplaying game. Choose your hero, embark on missions and make decisions together. Loot, level up and die again and again in an ever changing world of dar;https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/717930/header.jpg?t=1667688624;Crimsonite Games;Crimsonite Games;Windows;https://store.steampowered.com/app/717930/DEADHUNTERS/;To be announced;Action, Indie, RPG;;;;
The Terminal 2;Hungary;'The Terminal 2' game is a realistic airport management game. Land, park, unload, load, fuel and take off your fleet. The better you play the more planes you get every game-day. Expand ;https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/313620/header.jpg?t=1627299323;FrameLineNetwork;FrameLineNetwork;Windows;https://store.steampowered.com/app/313620/The_Terminal_2/;8 Aug, 2014;Simulation, Strategy;;;;
Deepest Chamber: Resurrection;Hungary;Delve into the depths of Deepest Chamber: Resurrection, where card boosting is your key to survival. Employ this unique mechanic to augment your abilities, strategize your next moves an;https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1552080/header.jpg?t=1725453545;Those Awesome Guys;Balcony Softworks;Windows, SteamOS + Linux;https://store.steampowered.com/app/1552080/Deepest_Chamber_Resurrection/;24 Oct, 2023;Indie, RPG, Strategy;;;;
DaCapo Delivers;Hungary;A quick shopping game which increases in difficulty for 16 levels. You play as Sal DaCapo, a young boy in the 1930s. Start by supplying groceries to Mom and Pop's Pasta Place and Speake;https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1537930/header.jpg?t=1625144773;Game Psych LLC;Teleport Games Bt;Windows;https://store.steampowered.com/app/1537930/DaCapo_Delivers/;1 Jul, 2021;Casual, Indie;;;;
Skydrift Infinity;Hungary;Skydrift Infinity is an action-packed arcade game focusing on the experience of flying alone, and with others, in a light, quick, fast-paced style.;https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/827330/header.jpg?t=1726054609;HandyGames;Digital Reality;Windows, Playstation, Xbox, Nintendo;https://store.steampowered.com/app/827330/Skydrift_Infinity/;29 Jul, 2021;Action, Racing;https://store.epicgames.com/en-US/p/skydrift-infinity-c4ca37;https://store.playstation.com/en-us/product/UP4389-CUSA13660_00-SKYDRIFTHDUS0000/;https://www.xbox.com/en-US/games/store/skydrift-infinity/C43JJK1PQG5T;https://www.nintendo.com/us/store/products/skydrift-infinity-switch/
Knife To Meet You;Hungary;A blade simulator that focuses on maximum fun. 48 crazy weapons, a new 'total throw control' mechanism, real physics, object destruction (3-level slicing, piercing, pinning, explosions);https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1663650/header.jpg?t=1714072947;Mate Magyar;Mate Magyar;Windows;https://store.steampowered.com/app/1663650/Knife_To_Meet_You/;13 Mar, 2024;Action, Indie, Simulation, Sports;;;;
Black Geyser: Couriers of Darkness;Hungary;Black Geyser is an isometric, party-based fantasy RPG inspired by genre classics. Recruit characters with unique personalities and explore a land ravaged by civil war and a mysterious c;https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1374930/header.jpg?t=1693316865;V Publishing, GrapeOcean Technologies;GrapeOcean Technologies;Windows, macOS, SteamOS + Linux;https://store.steampowered.com/app/1374930/Black_Geyser_Couriers_of_Darkness/;17 Mar, 2022;Indie, RPG;;;;
