Name;Country;Description;Thumbnail;Publisher_Names;Developer_Names;Platform;Steam_Link;Release_Date;Genre;Epic_Link;Playstation_Link;Xbox_Link;Switch_Link
Elasto Mania II;Hungary;Are you ready to master the second chapter? Your beloved retro motorbike simulator returns, packing moving platforms, gates with keys and teleports, extra challenges and even more colle;https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1370850/header.jpg?t=1717314681;Elasto Mania Team;Elasto Mania Team, Balazs Rozsa;Windows, Playstation, Xbox, Nintendo;https://store.steampowered.com/app/1370850/Elasto_Mania_II/;13 Dec, 2017;Casual, Indie, Racing, Simulation, Sports;;https://store.playstation.com/en-us/product/UB0249-CUSA45581_00-0866429431271882;https://www.xbox.com/en-US/games/store/elasto-mania-ii/9P7L3KV2LF67;https://www.nintendo.com/us/store/products/elasto-mania-ii-switch/
No More Light;Hungary;No More Light is a survival shooter where humanity's last remnants fight for survival against an alien insectoid invasion. Thrust into a devastated world, you'll navigate a post-apocaly;https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1363400/header.jpg?t=1724939471;Invictus;Para 51 Games, Invictus;Windows;https://store.steampowered.com/app/1363400/No_More_Light/;To be announced;Action, Adventure, Indie, Simulation, Early Access;;;;
Tales Of Chandar;Hungary;Tales Of Chandar is a turn-based strategy RPG, where you have to survive the dangerous lands of Chandar, and take back the kidnapped princess to her father.;https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1365780/header.jpg?t=1698136335;Forever Young Games;Forever Young Games;Windows;https://store.steampowered.com/app/1365780/Tales_Of_Chandar/;To be announced;Indie, RPG, Strategy;;;;
Cardaclysm;Hungary;Face the Four Horsemen of the Apocalypse in epic card battles! Cardaclysm: Shards of the Four is a procedurally generated collectible card game mixed with action RPG elements. Collect c;https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1252710/header.jpg?t=1717900547;Headup;Elder Games;Windows;https://store.steampowered.com/app/1252710/Cardaclysm/;26 Feb, 2021;RPG, Strategy;;;;
Rum & Gun;Hungary;Rum & Gun combines fast-paced shooter action with ARPG loot and character building. Journey across the Indian Ocean, uncover the secrets of the Drunken God, and become a legendary pirat;https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1210800/header.jpg?t=1724784866;Borington;Borington;Windows;https://store.steampowered.com/app/1210800/Rum__Gun/;26 Aug, 2024;Action, Adventure, Indie, RPG;;;;
Rolling Arcade;Hungary;Are you skillful enough to rock the tables of Rolling Arcade? Prove it in this digital reimagining of a classic mechanical arcade game. Steer the ball to the target, racing against the ;https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1334330/header.jpg?t=1703883476;One Bit Studio;One Bit Studio;Windows, SteamOS + Linux;https://store.steampowered.com/app/1334330/Rolling_Arcade/;10 Jun, 2020;Casual, Indie, Simulation;;;;
Action SuperCross;Hungary;The grandfather of all physics-based motorbike simulation games. This retro gem is the predecessor of Elasto Mania, a truly unique and challenging experience. Try this piece of gaming h;https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1339620/header.jpg?t=1717314596;Elasto Mania Team;Elasto Mania Team, Balazs Rozsa;Windows, Xbox, Nintendo;https://store.steampowered.com/app/1339620/Action_SuperCross/;11 Feb, 1997;Casual, Indie, Racing, Simulation, Sports;;;https://www.xbox.com/en-US/games/store/action-supercross/9nbck8x548jx;https://www.nintendo.com/us/store/products/action-supercross-switch/
Virus Madness - Dungeons of your Body;Hungary;Fight your way through vicious viruses, bacterias to save all humanity in this cute shooter game. Advance through dungeons of your body and destroy them all;https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1311210/header.jpg?t=1703011245;Adam Cs;Adam Cs;Windows, macOS;https://store.steampowered.com/app/1311210/Virus_Madness__Dungeons_of_your_Body/;31 May, 2020;Action, Casual, Indie, RPG, Simulation, Strategy;;;;
Stozle - Solve the Mystery;Hungary;Find out the mysteries of the short stories by solving puzzles. Are you smart enough do it?;https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1291090/header.jpg?t=1589654465;Balazs Hrabacsik;Balazs Hrabacsik;Windows;https://store.steampowered.com/app/1291090/Stozle__Solve_the_Mystery/;16 May, 2020;Casual, Indie;;;;
Vagrus - The Riven Realms: Demo (Prologue);Hungary;Embark on a perilous journey across a realm forsaken by the gods and devastated by an arcane cataclysm. Accompanied by a hardy crew, you must trade, fight, and explore your way to succe;https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1304660/header.jpg?t=1725464474;Lost Pilgrims Studios;Lost Pilgrims Studio;Windows, macOS, SteamOS + Linux;https://store.steampowered.com/app/1304660/Vagrus__The_Riven_Realms_Demo_Prologue/;10 Jul, 2020;Indie, RPG, Strategy;;;;
Elasto Mania Remastered;Hungary;The original cult classic returns. A blast from the past, better than ever. Are you ready?;https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1290220/header.jpg?t=1717314652;Elasto Mania Team;Elasto Mania Team, Balazs Rozsa;Windows, Playstation, Xbox, Nintendo;https://store.steampowered.com/app/1290220/Elasto_Mania_Remastered/;1 Feb, 2000;Casual, Indie, Racing, Simulation, Sports;;https://store.playstation.com/en-us/product/UP6680-CUSA27241_00-1894759360570552;https://www.xbox.com/en-us/games/store/elasto-mania-remastered/9nvp9xbwwr7t;https://www.nintendo.com/us/store/products/elasto-mania-remastered-switch/
Arabian Stones - The VR Sudoku Game;Hungary;Travel to the far Arabian desert, where this ancient ruin is waiting for you. Can you solve its puzzle?;https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1157070/header.jpg?t=1670024326;ForwardVector;ForwardVector;Windows;https://store.steampowered.com/app/1157070/Arabian_Stones__The_VR_Sudoku_Game/;3 Oct, 2019;Casual, Indie;;;;
Maze Up!;Hungary;Maze Up! is a simple and fun maze/labyrinth puzzle for everyone. Just click the tiles to rotate them and find the fastest way through hundreds of labyrinths.;https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/728670/header.jpg?t=1725622018;Inner Monkey;Inner Monkey;Windows;https://store.steampowered.com/app/728670/Maze_Up/;8 Nov, 2017;Casual, Indie;;;;
Fabular: Once Upon a Spacetime;Hungary;Cross blades with space knights in this epic physics-based roguelike where space-age and medieval combat collide. Die often, upgrade, and battle your way across the galaxy, defeating ri;https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/645720/header.jpg?t=1704202122;Spiritus Games;Spiritus Games;Windows;https://store.steampowered.com/app/645720/Fabular_Once_Upon_a_Spacetime/;10 Nov, 2022;Action, Adventure, Indie, RPG, Early Access;;;;
Crazy Justice;Hungary;Be the last one standing in Crazy Justice! Choose a Hero, then select & customize your skills and loot powerful weapons to be the best Champion. Travel across the World to save it from ;https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/834730/header.jpg?t=1542390446;Fig Publishing Inc., Black Riddles Studio Publishing, Inc.;Black Riddles Studio Ltd.;Windows, macOS, SteamOS + Linux;https://store.steampowered.com/app/834730/Crazy_Justice/;To be announced;Action, Adventure, Free To Play, Indie, Massively Multiplayer, Early Access;;;;
Remorse: The List;Hungary;Remorse: The List is a classic survival horror game where the player must figure out what is happening in the little hungarian town of Hidegpuszta, and your only clue is a list that doe;https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/867960/header.jpg?t=1658843890;Ashkandi, Feardemic;Ashkandi, Truthkey;Windows;https://store.steampowered.com/app/867960/Remorse_The_List/;22 Apr, 2022;Action, Indie;;;;
Galactic Shipwright;Hungary;Build the best or the funniest ships to transfer passengers, destroy enemies or navigate minefields. Beat every level and compete with your friends on the game's leaderboard, and share ;https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/705380/header.jpg?t=1538750505;NanoidGames;NanoidGames;Windows;https://store.steampowered.com/app/705380/Galactic_Shipwright/;5 Oct, 2018;Action, Indie, Simulation;;;;
Kingdom vs Zombies;Hungary;Build a flourishing empire, equip powerful armors and improve your character!;https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1220850/header.jpg?t=1587886808;Adam Cs;Adam Cs;Windows, macOS;https://store.steampowered.com/app/1220850/Kingdom_vs_Zombies/;26 Apr, 2020;Indie, RPG, Strategy;;;;
snake::reloaded;Hungary;Immerse yourself in the exciting world of snake warfare, use special abilities, and follow an epic story!;https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1269900/header.jpg?t=1586158969;BotBite Industries;BotBite Industries;Windows;https://store.steampowered.com/app/1269900/snakereloaded/;1 Jan, 2011;Action, Indie, Simulation;;;;
Jinga Online;Hungary;Grab a block from anywhere under the last completed row and then put it on the top - that's it! The longer you play the harder it'll be as the tower becomes more and more unstable, howe;https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1166760/header.jpg?t=1581900075;2SD;2SD;Windows;https://store.steampowered.com/app/1166760/Jinga_Online/;16 Feb, 2020;Casual, Indie, Simulation;;;;
Grayland;Hungary;A noir story of a tiny bird fighting in the colourless world of Grayland. Grayland is a story driven side-scroller game with unique art style. Fly and fight your way through the radiati;https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/297190/header.jpg?t=1700734056;1DER Entertainment;1DER Entertainment;Windows;https://store.steampowered.com/app/297190/Grayland/;15 Jan, 2020;Action, Adventure, Indie;;;;
Attack of the alien thingies from lava!;Hungary;Try to survive the increasing waves of alien thingies! Unlock and upgrade guns, pickup power-ups, get Steam achievements. Have fun with this brainless shooter game!;https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1237590/header.jpg?t=1680457733;Tamás Árva;Tamás Árva;Windows, SteamOS + Linux;https://store.steampowered.com/app/1237590/Attack_of_the_alien_thingies_from_lava/;18 Feb, 2020;Action, Casual, Indie;;;;
The Secret Order 8: Return to the Buried Kingdom;Hungary;Get to the bottom of the unexplainable events in the Buried Kingdom and save all its inhabitants in this thrilling fantasy experience. The eighth part of the Secret Order series introdu;https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1198450/header.jpg?t=1586755762;Artifex Mundi;Sunward Games;Windows, macOS, SteamOS + Linux;https://store.steampowered.com/app/1198450/The_Secret_Order_8_Return_to_the_Buried_Kingdom/;30 Jan, 2020;Adventure, Casual;;;;
Project Torque - Free 2 Play MMO Racing Game;Hungary;Classic Free to Play MMO Racer from the late 2000s is coming back online with all your favourite game modes like Sim, Drift, Drag, CTF and Thunder Alley.;https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1112400/header.jpg?t=1664929900;JOGARA LTD;Invictus Games Ltd., JOGARA LTD;Windows;https://store.steampowered.com/app/1112400/Project_Torque__Free_2_Play_MMO_Racing_Game/;30 Apr, 2008;Free To Play, Massively Multiplayer, Racing;;;;
GemCraft - Frostborn Wrath;Hungary;The epic tower defense dark fantasy journey continues! Create powerful gems with various abilities and take on the battle against an endlessly flowing army of monsters, and face the gro;https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1106530/header.jpg?t=1668163270;Game in a Bottle;Game in a Bottle;Windows;https://store.steampowered.com/app/1106530/GemCraft__Frostborn_Wrath/;10 Jan, 2020;Action, Indie, Strategy;;;;
The Padre;Hungary;The Padre is a retro stylised 3D horror adventure game tapping deep into the roots of classic horror games.;https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/747650/header.jpg?t=1662417359;Feardemic;Shotgun with Glitters;Windows, macOS, SteamOS + Linux, Playstation, Nintendo;https://store.steampowered.com/app/747650/The_Padre/;18 Apr, 2019;Action, Adventure, Indie;;https://store.playstation.com/en-us/product/UP3528-CUSA12914_00-THEPADRE00000000/;;https://www.nintendo.com/us/store/products/the-padre-switch/
Moss Destruction;Hungary;A fast-paced rogue-lite with procedurally generated, action packed levels. Rank up and install Mech Tech upgrades from an overstock! Snap on ability cartridges to your battle-mech, slay;https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/876220/header.jpg?t=1578314183;Shotgun with Glitters;Shotgun with Glitters;Windows, macOS, SteamOS + Linux;https://store.steampowered.com/app/876220/Moss_Destruction/;1 Mar, 2019;Action, Indie;;;;
WarriOrb: Prologue;Hungary;WarriOrb: Prologue is a free standalone demo for the action platformer WarriOrb, where you play as a mighty demon trapped in an unlikely body. The path ahead is not an easy one... Are y;https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1193760/header.jpg?t=1591689074;Not Yet, Maple Whispering Limited;Not Yet;Windows, SteamOS + Linux;https://store.steampowered.com/app/1193760/WarriOrb_Prologue/;11 Dec, 2019;Action, Adventure, Free To Play, Indie, RPG;;;;
Exile Squadron;Hungary;In this sidescrolling shoot ‘em up, you are the top pilot of the Exile Squadron, who has to stop the invading colonial forces. Unlock and upgrade an array of tactically diverse weapon;https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1161910/header.jpg?t=1703879338;One Bit Studio;One Bit Studio;Windows, SteamOS + Linux;https://store.steampowered.com/app/1161910/Exile_Squadron/;11 Nov, 2019;Action;;;;
Vagrus - The Riven Realms;Hungary;Embark on a perilous journey across a realm forsaken by the gods and devastated by an arcane cataclysm. Accompanied by a hardy crew, you must trade, fight, and explore your way to succe;https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/909660/header.jpg?t=1725028068;Lost Pilgrims Studios;Lost Pilgrims Studio;Windows, macOS, SteamOS + Linux;https://store.steampowered.com/app/909660/Vagrus__The_Riven_Realms/;5 Oct, 2021;Indie, RPG, Strategy;;;;
Angler's Life;Hungary;The Angler's Life is an open world fishing simulator, where the possibilities shall be limited only by your imagination.;https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1085390/header.jpg?t=1618577560;reCore Games;reCore Games;Windows;https://store.steampowered.com/app/1085390/Anglers_Life/;31 Oct, 2019;Adventure, Indie, Racing, RPG, Simulation, Sports, Early Access;;;;
Everreach: Project Eden;Hungary;Take on the role of Nora Harwood, member of Everreach’s Security Division, on a mission to secure the colonization process of Eden and investigate mysterious incidents! Everreach: Pro;https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/915670/header.jpg?t=1717760304;Headup, Beep Japan;Elder Games;Windows, Playstation;https://store.steampowered.com/app/915670/Everreach_Project_Eden/;4 Dec, 2019;Action, Indie, RPG;;https://store.playstation.com/en-us/product/UP0825-CUSA18957_00-EVERREACHSIEA000/;;
Endless Fables 4: Shadow Within;Hungary;Famous anthropologist Pamela Cavendish goes back to her hometown to face a tragedy from her childhood. When her friend - Hans - was kidnapped by a nightmarish figure no one believed her;https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1129030/header.jpg?t=1578847194;Artifex Mundi;Sunward Games;Windows, macOS, SteamOS + Linux;https://store.steampowered.com/app/1129030/Endless_Fables_4_Shadow_Within/;3 Oct, 2019;Adventure, Casual;;;;
The Long Drive;Hungary;Random generated open world semi-post apocalyptic survival car driving game.;https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1017180/header.jpg?t=1720990941;Genesz;Genesz;Windows;https://store.steampowered.com/app/1017180/The_Long_Drive/;25 Sep, 2019;Action, Adventure, Casual, Indie, Simulation, Early Access;;;;
Tank Maniacs;Hungary;Tank Maniacs is a local multiplayer game with tanks for all those people out there who like couches AND tanks!;https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1046630/header.jpg?t=1589708661; GAMELAB;GAMELAB;Windows, macOS, SteamOS + Linux;https://store.steampowered.com/app/1046630/Tank_Maniacs/;5 Dec, 2019;Action, Casual, Indie;;;;
Warhammer 40,000: Inquisitor - Prophecy;Hungary;Foul Tyranids rampaging on barren worlds; the mysterious Aeldari waging war on the Imperium; a prophecy that could change the fate of an entire Sector. Purge the unclean with the new Te;https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1042800/header.jpg?t=1689157339;NeocoreGames;NeocoreGames;Windows;https://store.steampowered.com/app/1042800/Warhammer_40000_Inquisitor__Prophecy/;30 Jul, 2019;Action, Adventure, Indie, RPG;;;;
Bikerz;Hungary;Bikerz is a fast-paced, action-packed game where you have only one goal: survive all of the coming levels!;https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1092580/header.jpg?t=1594121843;Forever Young Games;Forever Young Games;Windows;https://store.steampowered.com/app/1092580/Bikerz/;13 Dec, 2019;Action, Casual, Indie, Racing;;;;
Chicken Police - Paint it RED!;Hungary;A wild tale of love, death, chickens, and redemption! Chicken Police is a buddy-cop noir adventure with a carefully crafted world, a gritty story, and absurd humor. The game mixes class;https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1084640/header.jpg?t=1725350396;HandyGames;The Wild Gentlemen;Windows, macOS, Playstation, Nintendo;https://store.steampowered.com/app/1084640/Chicken_Police__Paint_it_RED/;5 Nov, 2020;Adventure, Indie;;https://store.playstation.com/en-us/product/UP0977-CUSA20204_00-CPPIRBASEGAME000/;;https://www.nintendo.com/us/store/products/chicken-police-paint-it-red-switch/
Infected Shelter;Hungary;Infected Shelter is an ultra-violent rogue-lite post-apocalyptic beat'em up. Singleplayer and co-op for up to four players.;https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/926390/header.jpg?t=1725279794;Dark Blue Games;Dark Blue Games;Windows;https://store.steampowered.com/app/926390/Infected_Shelter/;11 Nov, 2019;Action, Adventure, Indie, RPG, Free To Play;;;;
The Myth Seekers 2: The Sunken City;Hungary;A strange artifact has been excavated on the coast of Brittany - and now the agents of the Myth Seekers are in grave danger. Amelia has to act fast to protect modern-day Paris. What oth;https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1055310/header.jpg?t=1576677510;Artifex Mundi;Sunward Games;Windows, macOS, SteamOS + Linux, Playstation, Nintendo;https://store.steampowered.com/app/1055310/The_Myth_Seekers_2_The_Sunken_City/;13 Jun, 2019;Adventure, Casual;;https://store.playstation.com/en-us/concept/10009024;;https://www.nintendo.com/us/store/products/the-myth-seekers-2-the-sunken-city-switch/
Cowpocalypse - Episode 0;Hungary;Disappearing cows, strange visitors, talking trees... What is going on here...? Is the end of the world, the cowpocalypse really here? Discover the mysteries trough this puzzle filled, ;https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1075430/header.jpg?t=1579456351;Balazs Hrabacsik;Balazs Hrabacsik;Windows;https://store.steampowered.com/app/1075430/Cowpocalypse__Episode_0/;29 May, 2019;Adventure, Casual, Free To Play, Indie;;;;
Flux Caves;Hungary;Flux Caves is a 3D puzzle game. My plan is to create something which can be a challenge, but still you enjoy to play. I want to create a soothing environment and this is enhanced by slo;https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1086750/header.jpg?t=1594763152;Fubenalvo;Fubenalvo;Windows, macOS, SteamOS + Linux;https://store.steampowered.com/app/1086750/Flux_Caves/;7 Jun, 2019;Casual, Indie;;;;
Overlanders;Hungary;Battle it out in 5 PLAYER MULTIPLAYER or rage through the CAMPAIGN. Overlanders delivers the futuristic, competitive racing experience of your dreams.;https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/779450/header.jpg?t=1573935974;Run-Down Games;Run-Down Games;Windows, Nintendo;https://store.steampowered.com/app/779450/Overlanders/;23 May, 2019;Action, Indie, Racing;;;;https://www.nintendo.com/us/store/products/overlanders-switch/
YOOMURJAK'S RING;Hungary;Jonathan Hunt, a journalist from New York, arrives in the city of Eger in Hungary for a break. In the heritage of his great-grandfather, he found two letters dated back in 1898, about a;https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/774151/header.jpg?t=1678294623;M.INDIE;Private Moon Studios;Windows;https://store.steampowered.com/app/774151/YOOMURJAKS_RING/;21 May, 2019;Adventure;;;;
World Traveler VR;Hungary;World Traveler VR is a geo guessing, hidden object VR game in which your goal is to figure out which city you are in. On each level of the game you are „teleported” to an unknown st;https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/682110/header.jpg?t=1558935939;Nemesys Games;Nemesys Games;Windows;https://store.steampowered.com/app/682110/World_Traveler_VR/;To be announced;Casual, Indie;;;;
Murder On The Island;Hungary;Murder on the Island is a Visual Novel story, which takes place on a beautiful tropical island, where one of the 14 vacationers found murdered. Paul Parker, the owner of the island has ;https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1052560/header.jpg?t=1594122372;Forever Young Games;Forever Young Games;Windows;https://store.steampowered.com/app/1052560/Murder_On_The_Island/;10 Dec, 2019;Adventure, Casual, Indie;;;;
Global Soccer: A Management Game 2019;Hungary;In Global Soccer: A Management Game 2019 there are no restrictions, the whole world becomes playable! The 210 playable nations and the 4000+ playable clubs guarantees truly infinite hou;https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1052550/header.jpg?t=1594122797;Forever Young Games;Forever Young Games;Windows;https://store.steampowered.com/app/1052550/Global_Soccer_A_Management_Game_2019/;31 May, 2019;Casual, Indie, Simulation, Sports, Strategy;;;;
The Secret Order 7: Shadow Breach;Hungary;There are dark secrets that have an annoying tendency to crawl back into the light, escaping oblivion. But there is also Sarah Pennington, the most skilled agent of the ever-watching Se;https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1004860/header.jpg?t=1576760991;Artifex Mundi;Sunward Games;Windows, macOS, SteamOS + Linux;https://store.steampowered.com/app/1004860/The_Secret_Order_7_Shadow_Breach/;28 Feb, 2019;Adventure, Casual;;;;
Goblin Quest: Escape!;Hungary;Goblin Quest: Escape! is an award-winning action-packed dungeon crawler, action-rpg and reverse tower defense hybrid from BotBite Industries.;https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/375570/header.jpg?t=1550609546;BotBite Industries;BotBite Industries;Windows;https://store.steampowered.com/app/375570/Goblin_Quest_Escape/;19 Feb, 2019;Action, Adventure, RPG;;;;
Give It Up! Plus / 永不言弃 PLUS;Hungary;Give It Up! Plus is an impossible music game that will challenge your skills and reflexes. If you enjoy sweating during the game, this is for you. Just don't blame the game if you start;https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/694830/header.jpg?t=1595418160;Invictus Games Ltd.;Invictus Games Ltd.;Windows;https://store.steampowered.com/app/694830/Give_It_Up_Plus___PLUS/;30 Jan, 2019;Casual, Indie;;;;
Global Soccer: A Management Game 2018;Hungary;In Global Soccer: A Management Game 2018 there are no restrictions, the whole world becomes playable! The 210 playable nations and the 4000+ playable clubs guarantees truly infinite hou;https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/808420/header.jpg?t=1713293312;Forever Young Games;Forever Young Games;Windows;https://store.steampowered.com/app/808420/Global_Soccer_A_Management_Game_2018/;6 Apr, 2018;Casual, Indie, Simulation, Sports, Strategy, Free To Play;;;;
S.W.I.N.E. HD Remaster;Hungary;S.W.I.N.E. HD Remaster is the new edition of the challenging classic strategy game S.W.I.N.E! The filthiest of all wars between the Rabbit and the Pig armies is a sophisticated real-tim;https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/944010/header.jpg?t=1626945284;Assemble Entertainment, WhisperGames;Kite Games;Windows;https://store.steampowered.com/app/944010/SWINE_HD_Remaster/;23 May, 2019;Strategy;;;;
KóterGame;Hungary;Dormitory residents living in poor conditions find scary secrets behind the concrete walls, but they just wanted to play Mario in peace.;https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/975700/header.jpg?t=1666751865;Dzsembori;Dzsembori;Windows;https://store.steampowered.com/app/975700/KoterGame/;11 Jan, 2004;Adventure, Free To Play, Indie, RPG;;;;
Operencia: The Stolen Sun;Hungary;Operencia: The Stolen Sun embraces everything you love about classic first-person dungeon-crawlers, enhancing the old-school turn-based RPG experience with modern sensibilities. Guide a;https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/985950/header.jpg?t=1682003562;Zen Studios;Zen Studios;Windows, Playstation;https://store.steampowered.com/app/985950/Operencia_The_Stolen_Sun/;31 Mar, 2020;Action, Adventure, Indie, RPG;;https://store.playstation.com/en-us/product/UP4042-CUSA17445_00-OPERENCIA0000001/;;
Slave Master: The Game;Hungary;Sado Masso is on a twisted quest against hostile entities and to seek out supreme dominance and toxic masculinity. Help him reach full release in this crazy adventure;https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/890470/header.jpg?t=1552522238;The Black Jester and Realm of the Mental Midget Slayer;The Black Jester;Windows;https://store.steampowered.com/app/890470/Slave_Master_The_Game/;17 Nov, 2018;RPG;;;;
NeonCode;Hungary;NeonCode is a one hour long cyberpunk-retro adventure game made by one developer. It was inspired by classics such as the Blade Runner-movies, Miami Vice, Grim Fandango and the games of;https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/976780/header.jpg?t=1576935131;Fubenalvo;Fubenalvo;Windows, macOS, SteamOS + Linux;https://store.steampowered.com/app/976780/NeonCode/;22 Nov, 2018;Adventure, Indie;;;;
A-Tech Cybernetic VR;Hungary;Built exclusively for VR, A-Tech Cybernetic's Story Mode will offer hours of explosive fun, while Swarm Mode will test your grit in a sci-fi nightmare scenario. Stop the mutant invasion;https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/578210/header.jpg?t=1715712836;XREAL Games;XREAL Games;Windows, Playstation;https://store.steampowered.com/app/578210/ATech_Cybernetic_VR/;27 Mar, 2020;Action, Indie;;https://store.playstation.com/en-us/product/UP4057-CUSA15911_00-ATECHCYBERNETIC0/;;
Zero Caliber VR;Hungary;Zero Caliber is the ultimate VR FPS: single player/Co-op campaign, PvP and mod support with 40+ realistic firearms & melee weapons, 100+ unlockable skins, 50+ attachments, realistic phy;https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/877200/header.jpg?t=1723642662;XREAL Games;XREAL Games;Windows;https://store.steampowered.com/app/877200/Zero_Caliber_VR/;31 Jul, 2023;Action, Casual, Indie, Simulation;;;;
Wormster Dash;Hungary;Prepare yourself for a one-of-its-kind platformer game with hidden passages, deathly traps and a dazzling fantasy world. Your task is to outrun a menacing monster you awakened when digg;https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/818050/header.jpg?t=1579177694;GAMELAB;GAMELAB;Windows, macOS;https://store.steampowered.com/app/818050/Wormster_Dash/;1 Oct, 2018;Adventure, Indie;;;;
Cross Racing Championship Extreme;Hungary;Cross Racing Championship (CRC) allows players to experience the thrills of high-speed on and off road racing across vast open terrains. Racers can contest over 60 races across six dist;https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/925550/header.jpg?t=1578398084;Invictus Games Ltd.;Invictus Games Ltd.;Windows;https://store.steampowered.com/app/925550/Cross_Racing_Championship_Extreme/;18 Sep, 2018;Racing, Simulation, Sports;;;;
Endless Fables 3: Dark Moor;Hungary;During her new adventure, Pamela Cavendish goes to a misty and mysterious Scotland where a seemingly innocent landscape of moor quickly reveals its dark nature. Spectre from the past an;https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/867050/header.jpg?t=1579781450;Artifex Mundi;Sunward Games;Windows, macOS, SteamOS + Linux;https://store.steampowered.com/app/867050/Endless_Fables_3_Dark_Moor/;19 Jul, 2018;Adventure, Casual;;;;
Zaccaria Pinball;Hungary;Zaccaria Pinball brings you over 100 tables, including over 40 pinball tables officially licensed from Zaccaria. Zaccaria was founded by three brothers (Marino, Franco, & Natale) and wa;https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/444930/header.jpg?t=1662448282;Magic Pixel Kft.;Magic Pixel Kft.;Windows, macOS, SteamOS + Linux, Playstation, Nintendo;https://store.steampowered.com/app/444930/Zaccaria_Pinball/;16 Jun, 2016;Action, Casual, Free To Play, Indie, Simulation, Sports, Early Access;;https://store.playstation.com/en-us/product/UP5662-CUSA18557_00-0000000000000999/;;https://www.nintendo.com/us/store/products/zaccaria-pinball-switch/
WarriOrb;Hungary;Demons, giants, mutants, and a talking Ball with hybrid limbs?! In WarriOrb you play as a mighty demon trapped in an unlikely body. The path ahead is not an easy one. Will you do whatev;https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/790360/header.jpg?t=1667293305;Not Yet, Maple Whispering Limited;Not Yet;Windows, SteamOS + Linux, Nintendo;https://store.steampowered.com/app/790360/WarriOrb/;28 Apr, 2020;Action, Adventure, Indie, RPG;;;;https://www.nintendo.com/us/store/products/warriorb-switch/
