Name;Country;Description;Thumbnail;Publisher_Names;Developer_Names;Platform;Release_Date;Genre;Steam_Link;Epic_Link;PlayStation_Link;Xbox_Link;Switch_Link;GOG_Link
Isla Sinaloa;Mexico;Isla Sinaloa is a relaxing game full of puzzles and activities to enjoy on a peaceful island in a universe full of friendly animals;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/2099010/header.jpg?t=1677009293;EnsenaSoft;EnsenaSoft;Windows, macOS;10 Oct, 2022;Adventure, Casual, Indie, Simulation;https://store.steampowered.com/app/2099010/Isla_Sinaloa/;Unknown;;;;
It Comes In Waves;Mexico;A short, minimalist, experimental open-world adventure about guilt and grief. Explore, shoot, scavenge and bring a specimen to The Sanctuary. Beware PERMADEATH.;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/2342980/header.jpg?t=1727883033;Merlino Games;Antonio Freyre;Windows;5 Apr, 2023;Action, Adventure;https://store.steampowered.com/app/2342980/It_Comes_In_Waves/;Unknown;;;;
It's Full of Stars;Mexico;A multiplayer game for up to 50 players to decide who will be the # 1.;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1897020/header.jpg?t=1717995035;Black Stairs Games;Black Stairs Games;Windows, macOS, SteamOS + Linux;To be announced;Adventure, Casual, Indie, Simulation, Strategy;https://store.steampowered.com/app/1897020/Its_Full_of_Stars/;Unknown;;;;
Juan Sin Miedo;Mexico;The devil arrives on earth on the night of the Day of the Dead and kidnaps the beloved princess Fifi, and it's up to the cowardly peasant Juan to save the princess and put an end to t...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/2166190/3588d547c309436f3a236667a3891ad270f0022b/header.jpg?t=1740779884;N/A;Scott Ian Ceja Lampkins;Windows, SteamOS + Linux;8 Jan, 2023;Action, Adventure, Indie;https://store.steampowered.com/app/2166190/Juan_Sin_Miedo/;Unknown;;;;
KOTOMASHO: I Can't Believe This NEET Guy Turned Into a Magical Girl!;Mexico;A Gameboy Color and Anime inspired adventure game with RPG elements. Find magic powers on the go and obtain special ones to defeat your enemies and clear puzzle-filled dungeons in a s...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1822660/header.jpg?t=1734055989;WalGallen, Etherlight;WalGallen, Etherlight;Windows;To be announced;Adventure, Indie, RPG;https://store.steampowered.com/app/1822660/KOTOMASHO_I_Cant_Believe_This_NEET_Guy_Turned_Into_a_Magical_Girl/;Unknown;;;;
Kerbal Space Program;Mexico;In Kerbal Space Program, take charge of the space program for the alien race known as the Kerbals. You have access to an array of parts to assemble fully-functional spacecraft that fl...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/220200/header.jpg?t=1738037585;Private Division;Squad;Windows, macOS, SteamOS + Linux;27 Apr, 2015;Indie, Simulation;https://store.steampowered.com/app/220200/Kerbal_Space_Program/;Unknown;;;;https://www.gog.com/en/game/kerbal_space_program
Kid Pilot VR;Mexico;Fly and shoot to complete challenges, defeat tough bosses and discover hidden secrets in this stress reliever VR flying game where every level you unlock is unique and fun.;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/2484570/header.jpg?t=1740424716;Flamingo Simulation Systems;Flamingo Simulation Systems;Windows;22 May, 2024;Adventure;https://store.steampowered.com/app/2484570/Kid_Pilot_VR/;Unknown;;;;
Kitty Cat: Jigsaw Puzzles;Mexico;Kitty Cat: Jigsaw Puzzles is the puurfect game to cat lovers and jigsaw puzzle game enthusiasts. The game includes 84 challenging jigsaw puzzles with beautiful pictures of sweet, irre...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/500580/header.jpg?t=1667866872;EnsenaSoft;EnsenaSoft;Windows;18 Jul, 2016;Casual;https://store.steampowered.com/app/500580/Kitty_Cat_Jigsaw_Puzzles/;Unknown;;;;
Koatl the defender : The Lost Tunnels;Mexico;Koatl the Defender, the Lost Tunnels is an action platform video game set in the Koatl the Defender universe, published by Codex Studio.;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/2025710/header.jpg?t=1709101595;Oribe Ware;Oribe Ware, Codex Studio;Windows;15 Jan, 2023;Action, Adventure;https://store.steampowered.com/app/2025710/Koatl_the_defender__The_Lost_Tunnels/;Unknown;;;;
Kombate Mexicano Elexiones;Mexico;Kombate Mexicano Elexiones is a fighting game featuring digitized stereotyped character trying to win the presidency of Mexico;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/2515500/header.jpg?t=1728663516;olinevir;olinevir;Windows, SteamOS + Linux;15 Sep, 2023;Action, Indie;https://store.steampowered.com/app/2515500/Kombate_Mexicano_Elexiones/;Unknown;;;;
