Name;Country;Description;Thumbnail;Publisher_Names;Developer_Names;Platform;Steam_Link;Release_Date;Genre;Epic_Link;Playstation_Link;Xbox_Link;Switch_Link
Atriage;Puerto Rico;Atriage, a turn-based strategy game inspired by Sci-fi space naval battles in 80s Anime where you command a fleet of ten warships against a rival commander. Master four different ship c...;https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/454780/header.jpg?t=1461352079;Batu Games LLC;Batu Games LLC;Windows, macOS, SteamOS + Linux;https://store.steampowered.com/app/454780/Atriage/;7 Apr, 2016;Indie, Strategy;Unknown;Unknown;Unknown;Unknown
Bad Chicken;Puerto Rico;Bad Chicken is a retro styled sideway scrolling shoot-em-up inspired by the retro classics. It takes place in 8 locations in the Ferus system, each one with different challenges, and da...;https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2015170/header.jpg?t=1711713713;Coquibyte Games;Coquibyte Games;Windows;https://store.steampowered.com/app/2015170/Bad_Chicken/;30 Sep, 2022;Action, Adventure, Casual, Indie;Unknown;Unknown;Unknown;Unknown
Bounty: Drag Racing;Puerto Rico;Bounty: Drag Racing is the most complete online drag racing experience on the market. Race the fastest and most varied types of dragsters in the world. Customize and fine tune your cars...;https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1803390/header.jpg?t=1724279569;KODgames;KODgames;Windows;https://store.steampowered.com/app/1803390/Bounty_Drag_Racing/;24 May, 2024;Action, Massively Multiplayer, Racing, Simulation, Sports;Unknown;Unknown;Unknown;Unknown
Floppy and The Sleepy Planet;Puerto Rico;Join Floppy and Kara in their awesome adventures. Explore the world, help solve the problems of each unique realm, and learn hidden secrets in a fun adventure for all the family. Traver...;https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1737830/header.jpg?t=1705767482;Tideturners;Tideturners;Windows;https://store.steampowered.com/app/1737830/Floppy_and_The_Sleepy_Planet/;To be announced;Action, Adventure, Casual;Unknown;Unknown;Unknown;Unknown
Neko Ghost, Jump!;Puerto Rico;Neko Ghost, Jump! is a puzzle-platformer where you switch between 2D & 3D perspectives to zip your way through 40+ levels across eight intriguing worlds.;https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1194750/header.jpg?t=1720039397;Burgos Games;Burgos Games;Windows, SteamOS + Linux;https://store.steampowered.com/app/1194750/Neko_Ghost_Jump/;11 Jan, 2022;Action, Adventure, Casual, Indie, Early Access;Unknown;Unknown;Unknown;Unknown
The Bunny Graveyard;Puerto Rico;Skye and her Handy Pals are looking for a new pal to help them out on her lovely lil' garden! Think you're up for the job, partner?;https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1892420/header.jpg?t=1721881008;Pichon Games;Pichon Games;Windows;https://store.steampowered.com/app/1892420/The_Bunny_Graveyard/;22 Sep, 2023;Action, Adventure, Indie;Unknown;Unknown;Unknown;Unknown
